,location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours
4518,San Ramon,San Francisco-Oakland-Fremont,US,o3,0.034,2020-05-20 04:00:00+00:00,ppm,AirNow,37.74365,-121.93419,1.0
4519,EBAM7 - Sac 5th St.,PROXY SITE - CA - CONSTANT,US,pm25,-3.0,2019-03-04 17:00:00+00:00,µg/m³,AirNow,37.74646,-120.1437,1.0
4520,K96 & Hydraulic,Wichita,US,pm10,9.0,2018-01-09 11:00:00+00:00,µg/m³,AirNow,37.7472,-97.3164,1.0
4521,Enoch,IRON,US,no2,0.004,2020-05-20 04:00:00+00:00,ppm,AirNow,37.747444,-113.05553,1.0
4522,Enoch,IRON,US,o3,0.042,2020-05-20 04:00:00+00:00,ppm,AirNow,37.747444,-113.05553,1.0
4523,Enoch,IRON,US,pm25,2.5,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.747444,-113.05553,1.0
4524,Yosemite Village - V,MARIPOSA,US,pm10,8.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.748707,-119.5871,1.0
4525,Yosemite Village - V,MARIPOSA,US,pm25,5.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.748707,-119.5871,1.0
4526,San Francisco,San Francisco-Oakland-Fremont,US,co,0.15,2020-05-20 04:00:00+00:00,ppm,AirNow,37.7658,-122.3978,1.0
4527,San Francisco,San Francisco-Oakland-Fremont,US,no2,0.001,2020-05-20 04:00:00+00:00,ppm,AirNow,37.7658,-122.3978,1.0
4528,San Francisco,San Francisco-Oakland-Fremont,US,o3,0.036,2020-05-20 04:00:00+00:00,ppm,AirNow,37.7658,-122.3978,1.0
4529,San Francisco,San Francisco-Oakland-Fremont,US,pm25,7.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.7658,-122.3978,1.0
